Listid,Listname,Published,Sectorcode,Status,Competitorid,Fiscode,Lastname,Firstname,Nationcode,Gender,Birthdate,Skiclub,Nationalcode,Competitorname,Birthyear,Calculationdate,DHpoints,DHpos,DHSta,SLpoints,SLpos,SLSta,GSpoints,GSpos,GSSta,SGpoints,SGpos,SGSta,ACpoints,ACpos,ACSta
331,"6th FIS points list 2021/2022",1,AL,O,236444,120097,"A KE",Zhuoli,CHN,M,1998-09-02,,,"A KE Zhuoli",1998,28-09-2021,,,,,,,275.48,3512,*,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,219656,502468,AABERG,Filip,SWE,M,2001-10-19,"Nolby Alpina",SWE,"AABERG Filip",2001,28-09-2021,616.43,1327,*,88.89,1618,*,91.33,1786,*,103.75,924,*,,,
331,"6th FIS points list 2021/2022",1,AL,O,252236,507276,AABERG,Linn,SWE,W,2004-04-25,"Sundsvalls SLK",Sweden,"AABERG Linn",2004,28-09-2021,,,,156.16,1824,*,190.11,2025,*,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,222777,422781,AAGESEN,Tinius,NOR,M,2001-09-17,"Freidig Alpin",16,"AAGESEN Tinius",2001,28-09-2021,304.13,1290,*,37.74,333,*,48.64,635,*,88.11,695,*,386.64,1262,*
331,"6th FIS points list 2021/2022",1,AL,O,228310,502523,AAHS,Albin,SWE,M,2002-06-13,"Sollentuna Slk",SWE,"AAHS Albin",2002,28-09-2021,131.45,776,*,52.31,703,*,56.35,859,*,104.13,929,*,,,
331,"6th FIS points list 2021/2022",1,AL,O,202606,502327,AAKERSTROEM,Joel,SWE,M,1999-04-22,"Oestersund Froesoe slk",SWE,"AAKERSTROEM Joel",1999,28-09-2021,221.12,1161,*,59.91,880,*,64.77,1063,*,176.09,1725,*,999.99,1298,*
331,"6th FIS points list 2021/2022",1,AL,O,228265,507139,AAKERSTROEM,Sara,SWE,W,2002-02-07,"Oestersund Froesoe slk",SWE,"AAKERSTROEM Sara",2002,28-09-2021,,,,101.32,1252,*,102.88,1389,*,,,,,,
331,"6th FIS points list 2021/2022",1,AL,E,189505,422580,AALERUD-LARSEN,Theodor,NOR,M,1997-01-08,"Raelingen Skiclub",2,"AALERUD-LARSEN Theodor",1997,28-09-2021,,,,889.20,3799,*,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,213725,422704,AAMBAKK,"Eirik Rekkedal",NOR,M,2000-08-16,"Oerstad Il",15,"AAMBAKK Eirik Rekkedal",2000,28-09-2021,,,,263.48,3394,*,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,213726,422705,AAMBAKK,"Sondre Rekkedal",NOR,M,2000-08-16,"Oerstad Il",15,"AAMBAKK Sondre Rekkedal",2000,28-09-2021,,,,73.65,1220,*,92.87,1829,*,323.15,2308,*,999.99,1298,*
331,"6th FIS points list 2021/2022",1,AL,O,30,420382,AAMODT,"Kjetil Andre",NOR,M,1971-09-02,"Ski Club Nordstrand IF",03,"AAMODT Kjetil Andre",1971,28-09-2021,,,,,,,,,,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,245545,426420,AANDAHL,Filippa,NOR,W,2003-03-05,Ready,03,"AANDAHL Filippa",2003,28-09-2021,,,,114.51,1437,*,112.06,1491,*,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,204897,426281,AANDAL,"Marthe Toesse",NOR,W,1999-09-22,"Spjelkavik Il",15,"AANDAL Marthe Toesse",1999,28-09-2021,,,,52.26,453,*,48.45,461,*,98.31,582,*,999.99,928,*
331,"6th FIS points list 2021/2022",1,AL,O,245754,422866,AANEBY,"Oskar Willy",NOR,M,2003-04-13,"Hakadal Il",02,"AANEBY Oskar Willy",2003,28-09-2021,,,,75.81,1280,*,73.08,1309,*,120.90,1189,*,,,
331,"6th FIS points list 2021/2022",1,AL,O,222296,507099,AARSJOE,Ebba,SWE,W,2001-01-12,"Vemdalens If",SWE,"AARSJOE Ebba",2001,28-09-2021,175.71,563,*,78.42,907,*,69.69,888,*,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,228266,507140,AARSJOE,Maja,SWE,W,2002-10-14,"Vemdalens If",SWE,"AARSJOE Maja",2002,28-09-2021,223.55,654,*,64.01,664,*,73.39,960,*,,,,,,
331,"6th FIS points list 2021/2022",1,AL,O,154982,426047,AASBERG,"Kristine Fausa",NOR,W,1994-02-24,"Baerums Skiclub",02,"AASBERG Kristine Fausa",1994,28-09-2021,,,,70.14,777,*,67.67,848,*,179.19,1030,*,852.50,915,*
